,Area Name,Count
5,Austin,3750
75,West Town,2391
32,Humboldt Park,2151
49,Near West Side,2032
40,Logan Square,1969
8,Belmont Cragin,1805
65,South Shore,1676
4,Auburn Gresham,1616
15,Chicago Lawn,1559
52,North Lawndale,1494
61,Roseland,1465
29,Greater Grand Crossing,1441
70,West Englewood,1387
34,Irving Park,1385
64,South Lawndale,1379
23,Englewood,1309
14,Chatham,1303
37,Lakeview,1256
19,East Garfield Park,1167
57,Portage Park,1145
7,Avondale,1101
50,New City,1090
11,Brighton Park,1077
42,Lower West Side,1073
71,West Garfield Park,1030
47,Near North Side,984
73,West Pullman,973
26,Gage Park,928
62,South Chicago,926
3,Ashburn,896
38,Lincoln Park,896
66,Uptown,857
0,Albany Park,855
28,Grand Boulevard,841
74,West Ridge,816
67,Washington Heights,787
31,Hermosa,723
76,Woodlawn,641
68,Washington Park,634
60,Rogers Park,597
17,Douglas,587
72,West Lawn,586
21,Edgewater,508
18,Dunning,496
10,Bridgeport,495
45,Morgan Park,471
13,Calumet Heights,471
39,Lincoln Square,470
1,Archer Heights,447
27,Garfield Ridge,443
51,North Center,416
41,Loop,412
33,Hyde Park,410
63,South Deering,407
69,West Elsdon,397
55,O'Hare,392
43,McKinley Park,389
36,Kenwood,374
6,Avalon Park,355
2,Armour Square,347
48,Near South Side,333
20,East Side,310
35,Jefferson Park,280
44,Montclare,256
58,Pullman,249
53,North Park,234
59,Riverdale,225
25,Fuller Park,216
16,Clearing,209
9,Beverly,202
54,Norwood Park,179
56,Oakland,179
30,Hegewisch,120
24,Forest Glen,108
12,Burnside,107
46,Mount Greenwood,62
22,Edison Park,40
